Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 140 1991.00  1581.03 202.5145111 47.1511192    8.36    4.07 
 141 2403.65  1584.80 202.5060730 47.1511765    6.42    3.49 
 142 4426.03  1585.59 202.4647675 47.1511917    6.84    3.58 
 143 3053.89  1596.32 202.4927979 47.1513405    6.72    2.94 
 144 2478.28  1613.46 202.5045471 47.1515732    8.06    3.88 
 145 4582.06  1615.33 202.4615784 47.1516037    6.96    3.22 
 146 4657.68  1621.84 202.4600372 47.1516953    8.06    4.08 
 147 2617.19  1630.00 202.5017090 47.1518059    7.81    4.57 
 148 3061.50  1631.32 202.4926453 47.1518250    6.76    3.55 
 149 7786.74  1653.76 202.3961334 47.1521149    6.78    3.15 
 150 3164.22  1655.47 202.4905396 47.1521606    8.01    4.44 
 151 2555.76  1663.81 202.5029755 47.1522751    8.06    3.91 
 152 3386.58  1678.41 202.4860077 47.1524811    8.46    4.13 
 153 3808.52  1679.07 202.4773865 47.1524887    8.36    4.71 
 154 2972.13  1687.69 202.4944611 47.1526070    6.72    3.13 
 155 4404.61  1689.77 202.4652100 47.1526375    6.84    4.48 
 156 4372.17  1691.31 202.4658661 47.1526604    8.81    4.97 
 157 3881.56  1695.23 202.4758911 47.1527138    8.11    4.15 
 158 3898.89  1696.80 202.4755402 47.1527367    6.96    3.42 
 159 4895.52  1701.46 202.4551849 47.1528015    6.96    3.38 
 160 5121.25  1703.63 202.4505768 47.1528282    8.36    4.11 
 161 2546.81  1708.72 202.5031586 47.1528969    8.31    4.06 
 162 5095.89  1708.72 202.4510956 47.1529007    6.88    3.84 
 163 6292.18  1711.60 202.4266510 47.1529350    8.06    4.43 
