Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
 921 1600.40  3442.81 202.5225067 47.1769753    6.90    3.19 
 922 7082.14  3444.01 202.4104919 47.1769867    6.80    3.64 
 923 1496.46  3444.89 202.5246277 47.1770020    6.98    3.72 
 924 3633.57  3450.49 202.4809570 47.1770935    6.84    3.14 
 925 4546.23  3451.96 202.4623108 47.1771126    6.70    3.44 
 926 5956.03  3453.27 202.4335022 47.1771278    6.78    2.92 
 927 1538.05  3454.01 202.5237885 47.1771317    7.14    4.00 
 928 7368.50  3454.40 202.4046478 47.1771278    6.78    3.64 
 929  528.34  3456.22 202.5444183 47.1771507    8.06    4.11 
 930 3651.13  3456.19 202.4806061 47.1771736    6.58    3.65 
 931 4064.05  3455.79 202.4721680 47.1771660    7.46    4.22 
 932 1007.60  3457.09 202.5346222 47.1771698    8.26    3.88 
 933 6225.33  3457.69 202.4280090 47.1771851    9.01    5.41 
 934 4130.29  3457.49 202.4708099 47.1771927    6.68    2.82 
 935 3337.56  3459.07 202.4870148 47.1772118    6.72    3.09 
 936 3757.01  3459.08 202.4784393 47.1772118    8.06    4.12 
 937 3216.01  3462.46 202.4894867 47.1772575    6.00    3.82 
 938 4911.91  3463.50 202.4548340 47.1772728    6.80    3.73 
 939 5583.38  3463.32 202.4411163 47.1772690    6.90    3.04 
 940 3711.40  3463.97 202.4793701 47.1772804    7.56    3.98 
 941 4277.96  3464.86 202.4677887 47.1772919    9.01    4.97 
 942 4342.17  3466.30 202.4664764 47.1773148    6.70    3.72 
 943 1560.17  3466.98 202.5233307 47.1773109    8.06    3.98 
 944 3319.97  3467.12 202.4873657 47.1773224    6.88    3.81 
 945 3303.73  3470.59 202.4877014 47.1773720    6.86    3.60 
 946 5786.51  3472.74 202.4369659 47.1773987    8.36    4.02 
 947 3913.14  3473.26 202.4752502 47.1774101    6.48    3.61 
 948 4166.48  3472.99 202.4700775 47.1774063    6.88    3.80 
 949 4259.90  3474.35 202.4681702 47.1774254    6.90    3.94 
 950 5810.04  3475.24 202.4364929 47.1774330    6.00    3.35 
 951 6038.94  3482.45 202.4318085 47.1775322    6.78    3.45 
 952 2848.10  3483.34 202.4970093 47.1775475    6.78    2.89 
 953 3465.18  3482.99 202.4844055 47.1775436    7.00    3.32 
 954 5512.07  3483.49 202.4425812 47.1775475    6.72    2.93 
 955 1091.33  3485.19 202.5329132 47.1775589    6.78    3.05 
 956 3646.05  3484.97 202.4807129 47.1775742    7.20    3.58 
 957 4777.13  3485.56 202.4575958 47.1775818    6.68    3.36 
 958 5840.54  3487.48 202.4358673 47.1776009    6.38    3.45 
 959 4034.19  3487.64 202.4727783 47.1776085    7.28    3.92 
 960 3219.72  3488.53 202.4894257 47.1776199    6.80    3.13 
 961 3822.74  3490.13 202.4770966 47.1776428    8.06    3.87 
 962 3364.75  3493.30 202.4864502 47.1776886    6.80    3.48 
 963 4083.49  3492.68 202.4717712 47.1776810    8.06    4.05 
 964 5601.04  3493.36 202.4407654 47.1776848    6.88    3.22 
 965 7621.74  3494.64 202.3994598 47.1776848    6.72    3.01 
 966 6690.25  3496.35 202.4185028 47.1777191    8.06    3.81 
 967  532.96  3497.26 202.5443268 47.1777191    6.78    3.39 
 968 4110.43  3498.41 202.4712219 47.1777611    6.80    3.37 
 969 4561.31  3497.80 202.4620056 47.1777496    9.30    5.03 
 970 4129.55  3499.11 202.4708252 47.1777687    7.26    4.24 
 971 4506.51  3498.80 202.4631195 47.1777649    6.52    3.48 
 972 5516.08  3502.62 202.4424896 47.1778145    6.94    3.12 
 973  494.62  3503.05 202.5451050 47.1777992    6.78    3.31 
 974 5200.62  3504.27 202.4489441 47.1778374    6.86    3.06 
 975 5588.04  3504.66 202.4410248 47.1778412    6.82    3.09 
 976 5641.80  3504.76 202.4399261 47.1778450    7.96    4.71 
 977 3633.70  3504.69 202.4809570 47.1778450    8.66    4.40 
 978 5681.80  3508.05 202.4391022 47.1778870    7.12    3.98 
 979 1424.58  3508.09 202.5261078 47.1778793    6.88    3.57 
 980 1771.62  3509.53 202.5190125 47.1779022    6.74    2.82 
 981 4243.67  3509.75 202.4684906 47.1779175    6.96    3.69 
 982 1516.53  3510.28 202.5242157 47.1779137    9.01    4.70 
 983 3903.81  3512.21 202.4754333 47.1779518    6.72    3.24 
 984 4760.14  3522.05 202.4579468 47.1780853    6.94    3.88 
 985 3319.48  3523.16 202.4873810 47.1781006    6.74    3.66 
 986 5193.40  3523.33 202.4490814 47.1781044    8.06    3.91 
 987 7113.46  3523.36 202.4098511 47.1780891    8.81    4.46 
 988 5987.08  3524.19 202.4328766 47.1781120    7.74    4.42 
 989 5650.75  3526.74 202.4397430 47.1781502    6.90    3.08 
 990 3162.89  3527.71 202.4905853 47.1781654    6.78    3.48 
 991 6061.12  3530.91 202.4313507 47.1782036    6.78    3.08 
 992 3375.97  3531.02 202.4862213 47.1782112    6.76    3.74 
 993 4690.82  3531.71 202.4593506 47.1782227    6.64    3.18 
 994 4274.69  3532.58 202.4678650 47.1782341    6.92    3.33 
 995 6081.21  3531.80 202.4309387 47.1782150    8.71    4.16 
 996 4091.95  3533.73 202.4715881 47.1782494    6.86    3.29 
 997 4573.98  3533.96 202.4617462 47.1782532    6.72    4.19 
 998 5762.71  3534.36 202.4374542 47.1782532    8.71    4.26 
 999 4213.43  3534.43 202.4691162 47.1782608    6.90    4.05 
1000 4707.13  3536.83 202.4590302 47.1782913    6.72    3.75 
1001 5553.46  3537.68 202.4417267 47.1783028    8.66    4.50 
1002 3119.27  3540.57 202.4914703 47.1783447    7.91    3.97 
1003 3230.02  3541.11 202.4892120 47.1783524    6.86    3.89 
1004 4102.48  3545.83 202.4713745 47.1784172    6.90    3.41 
1005 4180.86  3547.30 202.4697723 47.1784401    9.11    5.13 
1006 4124.32  3548.60 202.4709320 47.1784554    7.28    4.22 
1007 4042.12  3549.62 202.4726105 47.1784706    6.76    3.49 
1008 4059.83  3549.53 202.4722443 47.1784706    6.56    3.48 
1009 6017.22  3550.27 202.4322510 47.1784744    8.31    4.20 
1010 1439.41  3551.07 202.5258026 47.1784782    6.82    3.87 
1011 4213.65  3550.86 202.4691010 47.1784897    6.60    3.39 
1012 2727.48  3553.97 202.4994812 47.1785278    6.78    3.33 
1013 3138.05  3553.64 202.4910889 47.1785240    6.86    2.93 
1014 3656.00  3557.72 202.4804993 47.1785812    6.74    2.92 
1015 3569.02  3559.10 202.4822845 47.1786003    8.06    4.28 
1016 4085.13  3558.83 202.4717407 47.1786003    6.78    3.44 
1017 4599.98  3559.33 202.4612122 47.1786041    7.18    3.70 
1018 4669.14  3559.27 202.4597931 47.1786041    6.94    3.48 
1019 5876.79  3561.01 202.4351196 47.1786232    8.06    4.19 
1020 1535.33  3561.49 202.5238342 47.1786232    6.78    3.19 
1021 4342.15  3562.27 202.4664764 47.1786461    6.50    3.00 
1022 1465.54  3565.87 202.5252686 47.1786842    6.54    3.43 
1023 2950.36  3566.19 202.4949188 47.1786995    8.71    4.32 
1024 3211.14  3566.73 202.4895935 47.1787071    6.82    4.00 
1025 4068.90  3566.62 202.4720612 47.1787071    6.78    4.34 
1026 4508.87  3570.38 202.4630737 47.1787605    8.06    3.96 
1027 3698.61  3573.86 202.4796295 47.1788063    6.74    3.23 
1028 6747.20  3574.49 202.4173431 47.1788025    8.06    4.05 
1029 1304.35  3575.90 202.5285645 47.1788216    8.06    4.51 
1030 3246.93  3576.10 202.4888611 47.1788368    6.86    3.02 
1031 7654.58  3576.54 202.3987885 47.1788216    8.66    4.34 
1032 4713.38  3580.23 202.4588928 47.1788940    6.76    3.13 
1033 6591.30  3580.86 202.4205170 47.1788940    8.36    4.14 
1034 4527.34  3582.41 202.4626923 47.1789246    6.92    3.53 
1035  769.76  3582.43 202.5394897 47.1789055    9.01    4.64 
1036 1058.27  3582.47 202.5335846 47.1789093    6.78    3.33 
1037 1514.76  3583.43 202.5242615 47.1789284    6.74    3.58 
1038 2720.01  3584.95 202.4996338 47.1789589    6.80    3.25 
1039 2760.99  3585.57 202.4987946 47.1789665    6.00    3.32 
1040 6053.65  3587.34 202.4315033 47.1789894    7.76    3.90 
1041 5521.82  3589.47 202.4423828 47.1790199    7.14    3.87 
1042 6752.20  3589.47 202.4172363 47.1790123    8.06    5.00 
1043 4225.36  3589.98 202.4688721 47.1790314    6.00    4.08 
1044 4181.35  3595.34 202.4697723 47.1791039    9.26    4.98 
1045 4545.33  3595.34 202.4623260 47.1791039    6.92    3.23 
1046 7658.00  3595.31 202.3987274 47.1790810    8.46    4.92 
1047 4077.87  3597.23 202.4718781 47.1791306    9.01    5.54 
1048 3205.01  3599.02 202.4897156 47.1791534    6.88    3.73 
1049 3344.68  3599.63 202.4868622 47.1791649    6.58    4.40 
1050 5712.62  3603.65 202.4384766 47.1792183    8.31    4.21 
1051 3014.26  3604.02 202.4936218 47.1792221    6.96    3.90 
1052 2978.61  3605.45 202.4943390 47.1792450    6.78    3.39 
1053 3881.69  3605.16 202.4758911 47.1792412    6.78    3.44 
1054 6954.72  3604.74 202.4131012 47.1792221    8.06    4.27 
1055 2779.11  3607.01 202.4984283 47.1792641    6.40    3.42 
1056 3948.72  3607.91 202.4745178 47.1792793    6.84    4.00 
1057 6722.73  3608.15 202.4178314 47.1792717    8.06    4.09 
1058 5888.22  3609.65 202.4348907 47.1792984    8.71    4.22 
1059 7342.16  3610.09 202.4051819 47.1792908    8.91    4.36 
1060 4022.92  3611.24 202.4730072 47.1793251    6.70    3.27 
1061 4060.23  3611.66 202.4722443 47.1793327    6.68    3.10 
1062 4654.48  3613.57 202.4600983 47.1793594    6.96    3.66 
1063 4470.54  3614.91 202.4638519 47.1793785    6.80    3.22 
1064 7215.61  3616.17 202.4077606 47.1793785    8.06    3.97 
1065 2997.08  3618.14 202.4939728 47.1794205    6.88    3.41 
1066 4625.22  3621.88 202.4606934 47.1794739    6.92    3.24 
1067 1232.10  3624.45 202.5300293 47.1794930    6.78    2.88 
1068 4551.84  3625.14 202.4622040 47.1795197    6.64    3.37 
1069 6064.86  3627.33 202.4312744 47.1795425    8.06    4.00 
1070 4197.72  3628.23 202.4694366 47.1795616    6.40    3.63 
1071 5088.07  3629.07 202.4512329 47.1795731    6.80    3.46 
1072 3838.27  3631.14 202.4767761 47.1796036    8.96    4.74 
1073 4654.36  3631.53 202.4600983 47.1796074    6.68    3.06 
1074 6808.96  3631.79 202.4160767 47.1795998    8.06    4.56 
1075 5680.73  3643.93 202.4391327 47.1797752    6.88    3.68 
1076 4264.03  3643.98 202.4680786 47.1797829    6.74    3.46 
1077 4680.61  3645.61 202.4595642 47.1798019    7.96    4.66 
1078 5077.02  3646.75 202.4514618 47.1798172    6.44    3.37 
1079 5719.23  3646.03 202.4383392 47.1798058    9.01    5.03 
1080 6924.96  3646.60 202.4136963 47.1798019    8.01    4.42 
1081 4541.03  3647.32 202.4624176 47.1798286    6.80    4.03 
1082 3402.80  3648.56 202.4856720 47.1798439    6.52    4.03 
1083 3192.53  3652.74 202.4899750 47.1799011    6.80    3.15 
1084 4934.85  3654.47 202.4543762 47.1799240    7.14    3.46 
1085 3335.89  3655.76 202.4870453 47.1799431    6.88    3.59 
1086 7159.46  3656.46 202.4089050 47.1799393    6.78    3.37 
1087 4505.60  3658.96 202.4631348 47.1799889    6.64    2.89 
1088 1503.94  3659.97 202.5244751 47.1799927    8.06    4.60 
1089 7035.17  3659.93 202.4114532 47.1799889    8.06    3.85 
1090 3905.55  3661.14 202.4754028 47.1800194    6.84    3.35 
1091 6176.80  3661.64 202.4289856 47.1800194    8.86    4.92 
1092 6083.81  3663.37 202.4308929 47.1800423    8.06    4.07 
1093 4640.31  3670.78 202.4603882 47.1801529    6.80    3.63 
1094 5988.37  3673.47 202.4328461 47.1801834    8.06    3.90 
1095 2864.46  3674.30 202.4966736 47.1801987    7.91    4.37 
1096 3216.56  3673.70 202.4894867 47.1801910    6.80    3.20 
1097 6734.39  3674.02 202.4176025 47.1801872    8.06    4.56 
1098 3398.50  3676.21 202.4857635 47.1802292    6.82    3.69 
1099 6137.45  3676.14 202.4297943 47.1802216    8.31    4.04 
1100 3618.53  3681.14 202.4812622 47.1802979    6.00    3.91 
1101 4513.69  3680.92 202.4629822 47.1802940    6.78    2.94 
1102 3504.81  3682.20 202.4835968 47.1803131    7.68    4.72 
1103 3547.29  3682.11 202.4827271 47.1803093    6.88    4.20 
1104 4945.63  3685.15 202.4541473 47.1803513    8.36    4.46 
1105  800.61  3688.41 202.5388489 47.1803780    6.78    3.00 
1106 3721.92  3689.51 202.4791565 47.1804123    6.00    3.80 
1107 7249.92  3691.33 202.4070587 47.1804199    6.86    3.51 
1108 4606.51  3693.97 202.4610748 47.1804733    6.82    3.10 
1109 3422.50  3695.04 202.4852753 47.1804886    6.00    3.93 
1110 4016.45  3696.71 202.4731445 47.1805153    6.74    3.42 
1111 4902.85  3696.80 202.4550171 47.1805153    6.78    3.44 
1112 6671.82  3697.59 202.4188690 47.1805153    8.06    4.32 
1113 5082.47  3703.56 202.4513550 47.1806068 -999.   -999.   
1114 6725.89  3697.61 202.4177704 47.1805153    8.41    4.16 
1115 6931.59  3700.18 202.4135742 47.1805458    6.78    3.22 
1116 4630.67  3707.49 202.4605865 47.1806641    6.78    3.09 
1117 4500.00  3710.05 202.4632568 47.1806984    6.82    3.66 
1118 6641.36  3712.67 202.4194946 47.1807251    6.76    3.31 
1119 2979.44  3715.56 202.4943237 47.1807747    6.80    3.45 
1120 6697.06  3715.96 202.4183655 47.1807671    8.46    4.15 
1121 3883.65  3720.55 202.4758453 47.1808434    6.90    3.55 
1122 7169.25  3720.80 202.4087067 47.1808319    6.72    2.75 
1123 5076.47  3732.30 202.4514771 47.1810074    6.78    3.24 
1124 4781.63  3733.30 202.4575043 47.1810226    6.78    3.07 
1125 3370.35  3734.05 202.4863434 47.1810303    9.28    4.95 
1126 6110.20  3734.22 202.4303589 47.1810265    8.06    4.10 
1127 6217.29  3737.55 202.4281616 47.1810722    6.54    2.94 
1128 2002.62  3739.11 202.5142975 47.1810951    7.86    4.51 
1129 4689.22  3739.45 202.4593964 47.1811066    6.56    3.65 
1130 5680.85  3741.40 202.4391327 47.1811295    6.00    3.58 
1131 4674.10  3741.89 202.4597015 47.1811409    6.76    3.57 
1132 4737.77  3743.81 202.4584045 47.1811676    7.91    4.67 
1133 6200.74  3744.83 202.4284973 47.1811752    6.54    3.51 
1134 6685.24  3744.83 202.4185944 47.1811714    8.61    4.41 
1135 7537.53  3746.08 202.4011841 47.1811790    8.61    4.18 
1136 3015.15  3748.34 202.4936066 47.1812286    6.86    3.14 
1137 3054.95  3749.42 202.4927826 47.1812439    6.86    3.71 
1138 7404.31  3751.84 202.4039001 47.1812592    8.81    4.50 
1139 4597.44  3751.50 202.4612579 47.1812744    6.84    3.11 
1140 6717.57  3752.86 202.4179382 47.1812820    6.78    3.07 
1141 6630.40  3762.92 202.4197235 47.1814232    8.06    4.33 
1142 3746.03  3764.35 202.4786682 47.1814537    6.78    3.35 
1143 1649.30  3767.95 202.5215149 47.1814919    8.61    4.18 
1144 4397.64  3771.79 202.4653473 47.1815567    9.01    4.84 
1145 4662.18  3771.21 202.4599457 47.1815491    6.78    3.56 
1146 2951.34  3772.30 202.4949036 47.1815605    6.82    3.86 
1147 3080.03  3773.21 202.4922791 47.1815758    7.51    3.97 
1148 1191.83  3775.40 202.5308533 47.1815910    6.80    3.23 
1149 5851.90  3777.92 202.4356232 47.1816368    8.06    3.90 
1150 5690.67  3778.99 202.4389191 47.1816521    6.54    3.49 
1151 4810.10  3781.42 202.4569244 47.1816902    8.06    4.05 
1152 6058.63  3785.69 202.4314117 47.1817436    6.78    3.84 
1153 5758.42  3788.95 202.4375458 47.1817894    8.06    3.98 
1154 1370.06  3791.86 202.5272217 47.1818199    8.01    4.32 
1155 4318.65  3795.83 202.4669647 47.1818886    6.38    3.63 
1156  785.93  3801.97 202.5391541 47.1819572    6.78    3.14 
1157 4932.49  3803.57 202.4544220 47.1819954    8.06    4.35 
1158 6255.24  3806.34 202.4273834 47.1820297    6.78    3.45 
1159 3137.72  3807.67 202.4910889 47.1820526    6.82    3.96 
1160 3011.74  3811.37 202.4936676 47.1821022    6.88    3.77 
1161 4660.83  3812.70 202.4599762 47.1821251    6.96    3.54 
1162 6404.60  3816.18 202.4243317 47.1821632    8.46    4.15 
1163 3429.31  3818.40 202.4851379 47.1822014    6.70    3.49 
1164 7483.27  3819.92 202.4022980 47.1822052    6.78    3.18 
1165 2655.46  3821.92 202.5009460 47.1822472    8.06    4.19 
1166 5586.70  3822.02 202.4410553 47.1822510    6.80    3.44 
1167 4440.48  3823.47 202.4644775 47.1822739    6.72    3.58 
1168 3219.22  3827.61 202.4894257 47.1823311    6.88    3.62 
1169 1195.38  3827.81 202.5307922 47.1823196    6.90    3.38 
1170 1284.87  3829.57 202.5289612 47.1823425    7.70    4.21 
1171 4417.85  3832.62 202.4649353 47.1823997    6.92    3.60 
1172 6373.11  3833.11 202.4249725 47.1823997    8.31    4.22 
1173 6065.41  3834.33 202.4312592 47.1824188    6.72    3.07 
1174 4982.33  3835.54 202.4533997 47.1824417    8.06    4.12 
1175 2854.44  3836.58 202.4968872 47.1824532    6.84    3.29 
1176 2934.02  3842.33 202.4952545 47.1825333    6.96    3.53 
1177 6546.51  3844.11 202.4214325 47.1825485   10.30    6.20 
1178 5293.04  3845.03 202.4470520 47.1825714    8.06    4.14 
1179 2885.03  3847.60 202.4962616 47.1826057    8.06    4.07 
1180 1288.69  3847.98 202.5288849 47.1826019    6.78    2.98 
1181 2993.99  3853.24 202.4940338 47.1826859    6.84    3.36 
1182 3051.05  3854.63 202.4928741 47.1827049    6.82    3.87 
1183 2610.89  3857.58 202.5018616 47.1827431    8.31    4.49 
1184 3478.55  3862.01 202.4841309 47.1828079    6.78    2.77 
1185 2849.74  3863.45 202.4969788 47.1828270    6.58    2.95 
1186 5746.95  3865.57 202.4377747 47.1828537    8.86    4.41 
1187 6255.46  3868.64 202.4273834 47.1828918    6.52    3.49 
1188 2091.49  3869.19 202.5124817 47.1829033    8.61    4.26 
1189 1276.71  3879.22 202.5291290 47.1830330    8.11    4.60 
1190 2993.27  3878.84 202.4940491 47.1830406    6.90    3.32 
1191 2804.20  3880.39 202.4979095 47.1830635    6.80    3.77 
1192 5536.88  3880.64 202.4420624 47.1830635    7.16    3.48 
1193 5758.70  3883.02 202.4375305 47.1830978    8.06    4.19 
1194 4803.17  3884.72 202.4570618 47.1831245    6.78    3.09 
1195 5945.60  3884.38 202.4337158 47.1831131    8.31    4.41 
1196  356.27  3886.15 202.5479431 47.1831207    8.41    4.14 
1197 2834.50  3895.11 202.4972992 47.1832657    8.06    4.24 
1198 5591.61  3894.98 202.4409485 47.1832619    8.31    4.44 
1199 2654.29  3903.22 202.5009766 47.1833763    7.81    3.90 
1200 6442.81  3904.37 202.4235535 47.1833878    8.96    4.54 
1201 6296.30  3905.34 202.4265442 47.1834030    8.71    4.32 
1202 6212.69  3912.89 202.4282532 47.1835098    6.00    3.98 
1203 4911.34  3916.89 202.4548492 47.1835709    8.06    4.00 
1204 5434.77  3918.35 202.4441528 47.1835899   10.02    5.58 
1205 5917.79  3919.35 202.4342804 47.1836014    6.82    3.26 
1206 1219.01  3924.15 202.5303040 47.1836586    6.54    3.52 
1207 6412.24  3924.76 202.4241791 47.1836700    6.78    3.31 
1208 4635.09  3928.54 202.4604950 47.1837349    6.84    3.40 
1209 4486.76  3929.58 202.4635315 47.1837463    6.38    3.73 
1210 1366.91  3930.43 202.5272827 47.1837463    7.70    4.98 
1211 3109.17  3932.02 202.4916840 47.1837807    6.60    3.72 
1212 5868.14  3934.10 202.4353027 47.1838036    6.88    3.98 
1213 2897.98  3935.21 202.4960022 47.1838226    6.96    3.48 
1214 2525.85  3936.92 202.5036011 47.1838455    6.86    3.10 
1215 2738.47  3939.27 202.4992523 47.1838799    6.78    2.93 
1216 2753.94  3940.07 202.4989319 47.1838913    8.01    4.18 
1217 3682.37  3940.43 202.4799652 47.1838989    9.44    5.08 
1218 6158.56  3939.94 202.4293671 47.1838837    9.38    5.14 
1219 6302.15  3941.35 202.4264221 47.1839027    7.91    5.13 
1220 6576.13  3942.08 202.4208221 47.1839104    8.11    4.00 
1221 7168.13  3947.95 202.4087219 47.1839867    8.61    4.20 
1222 1475.56  3953.19 202.5250702 47.1840630    8.36    4.40 
1223 3082.72  3953.78 202.4922180 47.1840820    6.64    3.01 
1224 3188.55  3955.07 202.4900513 47.1841011    6.60    3.94 
1225 1164.65  3962.19 202.5314178 47.1841850    6.84    3.12 
1226 7170.14  3963.23 202.4086914 47.1842003    8.36    4.63 
1227 4948.96  3964.06 202.4540863 47.1842270    6.76    3.40 
1228 3017.87  3965.86 202.4935455 47.1842499    8.06    4.27 
1229 5755.11  3966.23 202.4376068 47.1842537    6.78    3.51 
1230 5776.92  3968.55 202.4371643 47.1842842    6.78    3.09 
1231 1980.66  3971.13 202.5147400 47.1843185    6.78    4.17 
1232 6296.07  3971.50 202.4265442 47.1843224    6.78    3.55 
1233 6450.29  3970.88 202.4234009 47.1843109    8.61    4.19 
1234 6919.73  3972.32 202.4138031 47.1843262    8.36    3.91 
1235 4290.37  3975.31 202.4675446 47.1843834    8.46    4.32 
1236 7142.27  3975.10 202.4092560 47.1843643    6.78    3.13 
1237 5681.11  3980.55 202.4391174 47.1844521    6.84    3.57 
1238 5915.23  3979.60 202.4343262 47.1844368    7.22    3.63 
1239 5888.53  3982.67 202.4348755 47.1844788    6.90    3.70 
1240 2048.72  3983.51 202.5133514 47.1844902    8.06    4.00 
1241 3480.25  3983.71 202.4841003 47.1844978    6.84    3.06 
1242 3760.93  3985.12 202.4783630 47.1845207    6.70    3.25 
1243 2770.05  3986.60 202.4986115 47.1845360    8.31    4.57 
1244 5965.36  3986.07 202.4333038 47.1845245    8.66    4.28 
1245 4316.38  3991.58 202.4670105 47.1846085    6.68    3.17 
1246 3126.59  3993.31 202.4913177 47.1846313    6.72    3.08 
1247 5929.73  3993.15 202.4340363 47.1846237    6.78    3.06 
1248 2568.53  3993.74 202.5027313 47.1846352    8.06    4.01 
1249 4702.35  3993.97 202.4591217 47.1846428    6.80    3.13 
1250 2930.05  3995.60 202.4953461 47.1846619    6.76    3.94 
1251 5782.63  3994.75 202.4370422 47.1846466    6.78    3.24 
1252 5838.16  3995.19 202.4359131 47.1846542    8.91    5.06 
1253 6130.12  3995.23 202.4299469 47.1846542    6.86    3.41 
1254 6153.55  3995.99 202.4294586 47.1846619    7.74    4.14 
1255 3772.59  4000.19 202.4781189 47.1847267    6.56    3.84 
1256 4991.48  4003.27 202.4532166 47.1847687    8.06    4.15 
1257 1404.41  4003.65 202.5265198 47.1847649    6.96    3.27 
1258 4329.81  4008.75 202.4667358 47.1848488    6.68    3.30 
1259 7052.95  4007.75 202.4110870 47.1848183    8.06    3.85 
1260 4304.73  4010.55 202.4672394 47.1848717    6.94    3.37 
1261 7128.50  4013.34 202.4095306 47.1848946    8.06    5.25 
1262 4012.10  4017.20 202.4732208 47.1849632    7.28    3.96 
1263 6413.55  4016.71 202.4241486 47.1849480    8.06    4.19 
1264 2828.13  4019.37 202.4974213 47.1849937    6.88    3.19 
1265 5971.88  4019.35 202.4331818 47.1849899    6.82    3.81 
1266 2360.42  4020.03 202.5069885 47.1849976    6.78    3.39 
1267 5887.45  4020.78 202.4349060 47.1850090    6.56    2.65 
1268 5587.84  4022.02 202.4410248 47.1850281    6.84    3.30 
1269 6586.60  4021.58 202.4206085 47.1850128    6.78    3.94 
1270 2914.10  4023.95 202.4956665 47.1850548    6.82    3.04 
1271 2977.51  4026.88 202.4943695 47.1850967    8.76    4.90 
1272 4285.33  4029.10 202.4676361 47.1851311    6.70    3.21 
1273 2699.94  4032.59 202.5000458 47.1851768    6.84    3.41 
1274 2995.50  4031.62 202.4940033 47.1851616    6.78    3.31 
1275 7046.18  4031.98 202.4112244 47.1851540    8.36    4.61 
1276 4739.68  4032.94 202.4583588 47.1851845    6.78    3.79 
1277 5676.91  4033.28 202.4392090 47.1851845    6.56    3.03 
1278 5908.74  4033.21 202.4344635 47.1851807    8.41    4.38 
1279 2890.93  4034.59 202.4961395 47.1852036    8.26    4.64 
1280 4039.77  4037.41 202.4726562 47.1852455    7.96    4.52 
1281 6350.80  4038.84 202.4254303 47.1852570    6.68    2.73 
1282 2429.40  4040.85 202.5055695 47.1852875    6.40    3.83 
1283 3868.98  4040.83 202.4761505 47.1852913    6.18    3.74 
1284 6112.36  4043.02 202.4302979 47.1853180    7.86    4.08 
1285 6941.25  4046.53 202.4133606 47.1853561    8.36    4.09 
1286 2404.58  4054.33 202.5060730 47.1854744    7.14    3.65 
1287 6005.73  4056.54 202.4324799 47.1855049    8.06    4.30 
1288 4213.07  4056.76 202.4691162 47.1855125    7.20    4.02 
1289 5848.30  4057.21 202.4356995 47.1855164    6.64    2.70 
1290 5925.14  4066.10 202.4341278 47.1856384    7.14    3.54 
1291 6832.09  4066.95 202.4155884 47.1856422    8.06    4.29 
1292 2424.41  4067.78 202.5056763 47.1856613    6.06    3.39 
1293 4571.06  4068.61 202.4618073 47.1856804    6.72    3.91 
1294 5100.38  4068.68 202.4509888 47.1856766    6.64    2.98 
1295 6373.83  4070.66 202.4249573 47.1856995    8.91    4.66 
1296 2379.82  4072.17 202.5065918 47.1857224    6.54    3.41 
1297 1772.01  4073.00 202.5190125 47.1857300    7.96    5.36 
1298 5212.98  4084.45 202.4486847 47.1858978    8.06    4.16 
1299 4250.27  4086.93 202.4683533 47.1859322    6.78    2.73 
1300 5626.60  4087.44 202.4402313 47.1859360    6.80    2.97 
1301 1386.83  4088.60 202.5268860 47.1859436    6.78    2.76 
1302 2646.71  4090.11 202.5011292 47.1859741    6.94    3.18 
1303 4864.20  4089.58 202.4558105 47.1859703    6.88    3.08 
1304 1155.00  4090.96 202.5316162 47.1859741    8.01    4.09 
1305 2393.26  4092.96 202.5063171 47.1860123    6.90    3.45 
1306 2208.99  4098.69 202.5100708 47.1860886    6.78    3.50 
1307 5916.20  4100.08 202.4343109 47.1861115    6.78    2.85 
1308 4819.71  4101.13 202.4567261 47.1861305    6.86    3.25 
1309 4628.21  4106.74 202.4606323 47.1862068    6.02    4.09 
1310 4117.92  4109.76 202.4710693 47.1862488    6.40    3.63 
1311 7273.56  4113.27 202.4065704 47.1862793    8.86    4.97 
1312 5021.94  4114.50 202.4525909 47.1863136    6.78    3.04 
1313 5767.98  4118.44 202.4373474 47.1863670    6.84    3.90 
1314 6065.85  4118.02 202.4312592 47.1863594    6.74    3.47 
1315 1335.01  4118.69 202.5279388 47.1863594    6.84    3.70 
